"RANstd" "samp.depth"
"1943" 0.698173732097276 2
"1944" 0.8825957901833 2
"1945" 0.743520837168148 2
"1946" 0.944237682799874 6
"1947" 1.15781827255261 6
"1948" 1.08171263379112 9
"1949" 1.02807177622909 11
"1950" 1.10918341951052 14
"1951" 1.05843989875408 15
"1952" 1.02391523262284 20
"1953" 0.926801918982285 21
"1954" 1.06044261687355 21
"1955" 1.08078201340843 21
"1956" 1.20432703643203 22
"1957" 1.11838240539717 26
"1958" 1.13037000975987 32
"1959" 1.08554717196029 32
"1960" 1.14796583684926 32
"1961" 1.20065892059218 33
"1962" 1.04368150769804 33
"1963" 1.04641802563375 33
"1964" 0.974948259490448 37
"1965" 0.766334950653261 38
"1966" 0.737117118755606 41
"1967" 0.901301285050621 41
"1968" 0.823266566002229 41
"1969" 0.753319554819019 41
"1970" 0.756140291604604 43
"1971" 0.77739658728773 44
"1972" 0.750585961473108 44
"1973" 0.662564798333872 45
"1974" 0.595835395558555 45
"1975" 0.61786522504529 47
"1976" 0.658832093874846 47
"1977" 0.634998353386935 48
"1978" 0.623336524986695 51
"1979" 0.604022459396327 52
"1980" 0.655869834289789 52
"1981" 0.564346582265036 53
"1982" 0.486351597141087 54
"1983" 0.545235917360922 54
"1984" 0.573941900228501 54
"1985" 0.64580187308528 54
"1986" 0.715760646856782 54
"1987" 0.671516502357417 55
"1988" 0.598408893258103 55
"1989" 0.633305602237545 55
"1990" 0.770954491379576 55
"1991" 0.692664319885067 55
"1992" 0.771212010254969 55
"1993" 0.770875749575629 55
"1994" 0.889913877965333 55
"1995" 0.971175913922163 55
"1996" 0.87761916946684 55
"1997" 1.11092514939469 55
"1998" 1.26387782361539 55
"1999" 1.13562427729832 55
"2000" 1.18826803639605 55
"2001" 1.06423562307925 55
"2002" 0.975754443047063 55
"2003" 0.642643360239613 55
"2004" 0.631087758662533 55
"2005" 0.764218762531655 55
"2006" 0.85851409676141 55
"2007" 1.11123174905282 55
"2008" 1.45196146995326 55
"2009" 1.62493607157442 55
"2010" 1.64429509833889 55
"2011" 1.45270429584159 55
"2012" 1.55428625906528 54
"2013" 1.74841219144471 52
"2014" 1.67125065784802 50
"2015" 1.59665340253188 50
"2016" 1.63071370361274 50
"2017" 2.2380704435924 30
