"DOLstd" "samp.depth"
"1966" 0.512906261707007 1
"1967" 0.909571619059611 2
"1968" 1.11645801040136 2
"1969" 1.10044426564084 3
"1970" 0.717168748177444 5
"1971" 0.892320247324395 6
"1972" 0.922815749881786 7
"1973" 1.02686015863561 7
"1974" 0.967529191851424 8
"1975" 1.21597403398424 10
"1976" 0.99435397819601 13
"1977" 0.981410535679847 13
"1978" 0.962606187620041 14
"1979" 0.942252161810169 14
"1980" 0.93055196120154 16
"1981" 0.90763063238642 16
"1982" 0.991405672443007 16
"1983" 1.11740464213812 16
"1984" 0.914395453483154 16
"1985" 1.10130929312545 16
"1986" 1.21053148453697 16
"1987" 0.954468947294584 16
"1988" 0.931217713936873 16
"1989" 1.09800779769901 16
"1990" 1.22572870203692 16
"1991" 1.24396633563253 16
"1992" 1.16000853116645 16
"1993" 1.19422999190015 16
"1994" 1.09636862114717 16
"1995" 1.12355403476391 16
"1996" 0.984965335616561 16
"1997" 0.995805418293466 16
"1998" 0.876672202696762 16
"1999" 0.862201590082041 16
"2000" 0.958698537278151 16
"2001" 0.882762588330606 16
"2002" 0.876702015539682 16
"2003" 0.873028099949056 16
"2004" 1.00237920647183 16
"2005" 0.943143789289785 16
"2006" 0.803630335740348 16
"2007" 1.00629356827697 16
"2008" 0.904296443867126 16
"2009" 0.890401302206943 16
"2010" 0.842166716925189 16
"2011" 0.843212724765906 16
"2012" 0.885564474537012 16
"2013" 0.860912175855362 16
"2014" 0.750341579245551 16
"2015" 0.683448316052039 16
"2016" 0.740699960090712 13
