"MSHstd" "samp.depth"
"1975" 0.553660314524826 1
"1976" 0.681668825583916 1
"1977" 0.472848290867948 5
"1978" 0.886933292544647 5
"1979" 0.719331532788272 9
"1980" 0.914787809926314 9
"1981" 0.959116670356924 9
"1982" 0.903921899268558 11
"1983" 0.890443785899782 11
"1984" 0.846060178717208 14
"1985" 1.21890743751717 14
"1986" 1.20175069636868 16
"1987" 1.33683583746372 16
"1988" 0.727281930126189 18
"1989" 1.1149700427406 18
"1990" 1.18422366703203 18
"1991" 1.05287804231561 18
"1992" 1.02997768136991 18
"1993" 1.05997456445757 18
"1994" 0.96709623003481 18
"1995" 1.01041022123695 20
"1996" 0.936790881433842 20
"1997" 1.16555780086678 20
"1998" 1.37891979027809 20
"1999" 1.06972867119771 20
"2000" 1.09745497743976 20
"2001" 0.924593433039447 20
"2002" 0.869128575804603 20
"2003" 0.800076836264844 20
"2004" 0.864922401855262 20
"2005" 1.09885483652849 20
"2006" 0.858259163058333 20
"2007" 0.888097588198709 19
"2008" 0.76129179744755 18
"2009" 0.726346135690769 18
"2010" 0.906757928411258 18
"2011" 0.755116610993238 18
"2012" 1.10481766636072 18
"2013" 0.891733090250421 18
"2014" 0.807202506876076 18
"2015" 0.974394502474254 18
"2016" 1.15445962892477 18
"2017" 1.06949284069869 18
