"RANstd" "samp.depth"
"1911" 0.150368964023329 1
"1912" 0.137325170813081 1
"1913" 0.149772071926839 1
"1914" 0.123890553900979 1
"1915" 0.0954580697601077 1
"1916" 0.143991841670297 1
"1917" 0.239943390162137 1
"1918" 0.583921586141175 1
"1919" 0.770462060525132 1
"1920" 1.21128206961293 1
"1921" 1.29570967736105 2
"1922" 0.975470669736 3
"1923" 0.850485255604562 3
"1924" 1.09465717610947 3
"1925" 0.840492965870572 7
"1926" 0.97671360835011 8
"1927" 0.791994444078897 12
"1928" 1.04533154254007 12
"1929" 0.90533193010296 13
"1930" 0.792261080216534 16
"1931" 1.0371475531758 16
"1932" 0.847493477984227 16
"1933" 1.13566606694359 17
"1934" 0.979377244504913 17
"1935" 1.14021258052555 17
"1936" 1.12616585970218 17
"1937" 1.07470535031552 18
"1938" 1.057751904342 19
"1939" 1.00867800056841 19
"1940" 1.11539316305146 19
"1941" 1.18540598334197 19
"1942" 1.27154030644309 19
"1943" 1.04272298046092 19
"1944" 0.927063461832832 20
"1945" 1.29565781826001 20
"1946" 0.89963192552881 20
"1947" 0.930516421008839 20
"1948" 0.998289822872944 20
"1949" 1.06057029536307 21
"1950" 1.13933961443367 22
"1951" 1.01222279533933 22
"1952" 1.0247662173809 22
"1953" 0.966111076246401 22
"1954" 1.03849513908882 22
"1955" 1.20174897931485 22
"1956" 1.11479133845578 22
"1957" 1.16570974520137 22
"1958" 1.30203652846434 22
"1959" 1.24677968373414 22
"1960" 1.23862808026129 22
"1961" 1.22056069170667 22
"1962" 1.12841422518037 22
"1963" 1.09868940980667 22
"1964" 1.04441246808784 22
"1965" 0.877850535267108 22
"1966" 0.793819853169245 22
"1967" 0.849331915475627 22
"1968" 0.880399538055046 22
"1969" 0.919667835647439 22
"1970" 0.943877793918761 22
"1971" 0.93960157697945 22
"1972" 0.873299828368397 22
"1973" 0.845699039486465 22
"1974" 0.769874993400385 22
"1975" 0.784409331669545 22
"1976" 0.845016800185748 22
"1977" 0.875805057176447 22
"1978" 0.879490859651981 22
"1979" 0.763979665766335 22
"1980" 0.926968135276034 22
"1981" 0.870148228828742 22
"1982" 0.878773370049008 22
"1983" 0.879731286770289 22
"1984" 0.634497012757645 22
"1986" 0.911493411567269 22
"1987" 0.822374917635206 22
"1988" 0.696308041091584 22
"1989" 0.526316184594797 22
"1990" 0.671102509202152 22
"1991" 0.701316113442822 22
"1992" 0.807733714441212 22
"1993" 1.01574106330061 22
"1994" 0.966784667453913 22
"1995" 0.953891893713965 22
"1996" 0.714715144849042 22
"1997" 0.797689157951898 22
"1998" 0.841918515449066 22
"1999" 0.856764206538983 22
"2000" 0.9092338943289 22
"2001" 0.967108675169975 22
"2002" 1.08539316478028 22
"2003" 1.01932907225029 22
"2004" 1.10616999395319 22
"2005" 1.21069634696568 22
"2006" 0.971193107707483 22
"2007" 1.25124803197472 22
"2008" 1.10239008277753 22
"2009" 1.10605655314555 22
"2010" 1.05636802341834 22
"2011" 0.948870739681762 22
"2012" 1.17221518855127 22
"2013" 1.09339604751976 22
"2014" 1.20279893526457 22
"2015" 1.21655427155788 22
"2016" 1.35690422879511 22
"2017" 1.13029769675904 19
