"MSHstd" "samp.depth"
"1973" 0.531139146745826 1
"1974" 0.717219998806173 3
"1975" 0.850323951662367 8
"1976" 0.373491572339164 9
"1977" 0.38437983773759 12
"1978" 0.490278401058491 14
"1979" 0.461404052679029 18
"1980" 0.766950098220581 21
"1981" 0.969586199070686 24
"1982" 0.994222088496559 29
"1983" 0.978327284146905 35
"1984" 0.952546265787408 38
"1985" 1.17941925698505 42
"1986" 1.12050955231739 49
"1987" 1.0927694048515 52
"1988" 0.708869566105954 54
"1989" 0.905071074469645 54
"1990" 0.968048741448763 55
"1991" 0.971007502568368 55
"1992" 0.854300156433985 59
"1993" 0.95045809504855 59
"1994" 1.06153864746717 59
"1995" 1.20974604679549 59
"1996" 1.17578380337943 59
"1997" 1.28150342337152 59
"1998" 1.21586143121807 59
"1999" 1.17054404129278 59
"2000" 1.11387954750301 59
"2001" 1.1945443571786 59
"2002" 1.13097352507296 59
"2003" 0.962401914728938 59
"2004" 1.00925550230856 59
"2005" 1.34583592863508 59
"2006" 0.821254252138285 58
"2007" 0.994280856422555 58
"2008" 0.754508004941941 58
"2009" 0.572512956705965 58
"2010" 0.847437331348981 58
"2011" 0.911011388901823 58
"2012" 1.257956325212 58
"2013" 0.844023638331921 57
"2014" 0.805838733817078 57
"2015" 0.72101239669053 56
"2016" 0.845998059953433 51
"2017" 0.833439187852627 45
