"CVRstd" "samp.depth"
"1950" 0.968950750468225 9
"1951" 0.670928637614205 9
"1952" 0.535181759049311 12
"1953" 0.717876185282015 12
"1954" 0.849611187523308 18
"1955" 0.787474305878252 20
"1956" 0.848176279881761 22
"1957" 0.882584871286942 28
"1958" 0.885112968977927 28
"1959" 0.717953947180328 30
"1960" 0.720901336924735 34
"1961" 0.81676354401767 35
"1962" 0.80320381056348 37
"1963" 0.810680324972894 44
"1964" 0.745196973426743 52
"1965" 0.736566379825438 59
"1966" 0.575088399616853 63
"1967" 0.772868283006106 66
"1968" 0.737089481805397 79
"1969" 0.729725847573204 90
"1970" 0.814963557533681 103
"1971" 0.732348454454103 119
"1972" 0.755818409819255 126
"1973" 0.705098866359803 139
"1974" 0.773295015566796 153
"1975" 0.788380483119225 168
"1976" 0.691490639987929 177
"1977" 0.652446532074073 188
"1978" 0.656339875782604 202
"1979" 0.590794585561135 212
"1980" 0.759957304270694 229
"1981" 0.682273627174788 250
"1982" 0.69657439566375 257
"1983" 0.700063752583979 277
"1984" 0.70986935304094 291
"1985" 0.856498491607128 310
"1986" 0.911099201352827 324
"1987" 0.708837424866897 345
"1988" 0.561837557011529 357
"1989" 0.708406820226795 368
"1990" 0.862162756934517 385
"1991" 0.82001473152915 403
"1992" 1.00873251177346 412
"1993" 0.891468454242902 426
"1994" 0.89411666722247 439
"1995" 0.986384230538057 447
"1996" 1.0445604903604 453
"1997" 1.07328123278757 458
"1998" 1.13034749089144 465
"1999" 0.920736342179089 472
"2000" 1.17171938700175 479
"2001" 1.25256866796248 483
"2002" 1.02428934907795 483
"2003" 1.02762986357034 485
"2004" 1.10238828407308 485
"2005" 0.985548188202941 488
"2006" 0.988758931275865 488
"2007" 1.28885744071981 487
"2008" 1.22728204613689 489
"2009" 1.16064620364735 485
"2010" 1.14558287587998 485
"2011" 1.09884100832662 485
"2012" 1.24581537315597 483
"2013" 1.19002607444858 481
"2014" 1.07537002812742 480
"2015" 0.920734418966962 467
"2016" 1.01080704194352 447
