"CVRstd" "samp.depth"
"1749" 0.121203578078105 1
"1750" 0.130648012733541 1
"1751" 0.0928702741117944 1
"1752" 0.0724073323583482 1
"1753" 0.185740548223589 1
"1754" 0.0629628977029114 1
"1755" 0.0771295496860665 1
"1756" 0.0849999118989305 1
"1757" 0.066111042588057 1
"1758" 0.102314708767231 1
"1759" 0.0865739843415032 1
"1760" 0.0897221292266488 1
"1761" 0.09601841899694 1
"1762" 0.169999823797861 1
"1763" 0.0771295496860665 1
"1764" 0.0975924914395127 1
"1765" 0.0724073323583482 1
"1766" 0.147962809601842 1
"1767" 0.0362036661791741 1
"1768" 0.111759143422668 1
"1769" 0.0582406803751931 1
"1770" 0.0472221732771836 1
"1771" 0.0897221292266488 1
"1772" 0.073981404800921 1
"1773" 0.09601841899694 1
"1774" 0.118055433192959 1
"1775" 0.225092359287908 1
"1776" 0.160555389142424 1
"1777" 0.171573896240434 1
"1778" 0.122777650520677 1
"1779" 0.169999823797861 1
"1780" 0.0975924914395127 1
"1781" 0.168425751355288 1
"1782" 0.144814664716696 1
"1783" 0.178495966346716 2
"1784" 0.233758202638252 2
"1785" 0.129553997785594 2
"1786" 0.179559081304195 2
"1787" 0.446703761923259 2
"1788" 0.224896825445668 2
"1789" 0.166465844275342 2
"1790" 0.207671184484904 2
"1791" 0.166656145070475 2
"1792" 0.305030486158753 2
"1793" 0.187506610444534 2
"1794" 0.359521053175542 2
"1795" 0.212981526225191 2
"1796" 0.247954065628637 2
"1797" 0.266023309744517 2
"1798" 0.230460956945264 2
"1799" 0.275212265657407 2
"1800" 0.319732073587125 2
"1801" 0.375249788621208 2
"1802" 0.496967702150884 2
"1803" 0.55551181718887 2
"1804" 0.437305594204829 2
"1805" 0.374119806733077 2
"1806" 0.494198469872767 2
"1807" 0.481569923392001 2
"1808" 0.324155923201767 2
"1809" 0.422826896545297 2
"1810" 0.353776920877635 2
"1811" 0.370158958683284 2
"1812" 0.389990887053632 2
"1813" 0.318346612956447 2
"1814" 0.396143142965796 2
"1815" 0.392537229562909 2
"1816" 0.318977626339546 2
"1817" 0.42391230047966 2
"1818" 0.346558172041515 2
"1819" 0.326391909017906 2
"1820" 0.354027332670466 2
"1821" 0.38845801459835 2
"1822" 0.359149062598858 2
"1823" 0.350035584630205 2
"1824" 0.309022234199015 2
"1825" 0.283060338893387 2
"1826" 0.23200564102991 3
"1827" 0.197261811571587 3
"1828" 0.245710479974345 3
"1829" 0.309288743104922 4
"1830" 0.323112116191882 4
"1831" 0.332181524421035 4
"1832" 0.301245758655269 4
"1833" 0.441802198799819 4
"1834" 0.26663902593827 4
"1835" 0.236747528838594 5
"1836" 0.231250168825879 5
"1837" 0.222426799196518 5
"1838" 0.213484024524214 5
"1839" 0.230657574708335 5
"1840" 0.202634471983119 5
"1841" 0.25807060492253 5
"1842" 0.235764728253223 5
"1843" 0.276199869073672 5
"1844" 0.302459897000935 5
"1845" 0.275450099822573 5
"1846" 0.306950087944019 5
"1847" 0.253402786134403 5
"1848" 0.255888978206291 5
"1849" 0.248970120880905 5
"1850" 0.17824299680164 5
"1851" 0.276269954641392 5
"1852" 0.248699395122587 5
"1853" 0.329364221491613 5
"1854" 0.346349297944587 5
"1855" 0.460911668234356 5
"1856" 0.426956471907165 5
"1857" 0.393067668418432 5
"1858" 0.435410618542057 5
"1859" 0.401176394910647 5
"1860" 0.395286298433407 5
"1861" 0.286500122945681 5
"1862" 0.23619071495526 5
"1863" 0.224986647288978 5
"1864" 0.191482268057785 5
"1865" 0.222124217451556 5
"1866" 0.252146703256395 5
"1867" 0.232357121246416 5
"1868" 0.259547287922756 5
"1869" 0.342074921674777 5
"1870" 0.263223707499886 5
"1871" 0.264371711290057 5
"1872" 0.223525480350636 5
"1873" 0.194219920972684 5
"1874" 0.257503332038 5
"1875" 0.195569714328911 5
"1876" 0.143870879057589 5
"1877" 0.173703596842335 5
"1878" 0.0892182106990552 5
"1879" 0.219406241383853 5
"1880" 0.172695723644802 6
"1881" 0.207068032322589 6
"1882" 0.191192599483091 6
"1883" 0.224485134799799 6
"1884" 0.184953293394829 6
"1885" 0.162891069906404 6
"1886" 0.172562692234065 6
"1887" 0.160574763915764 6
"1888" 0.174553427219087 6
"1889" 0.214531841010738 6
"1890" 0.229665476894083 6
"1891" 0.282880333182966 6
"1892" 0.306378858763816 6
"1893" 0.415091596367105 6
"1894" 0.661495601966487 6
"1895" 0.589046513043691 6
"1896" 0.511562373907824 6
"1897" 0.518234859885087 6
"1898" 0.947718278863873 6
