"DOLstd" "samp.depth"
"1922" 0.54107790204503 1
"1923" 0.713057461692971 1
"1924" 0.911170492574187 1
"1925" 0.626665302399827 2
"1926" 0.786153707430009 2
"1927" 0.877678077973321 3
"1928" 0.805896759596044 3
"1929" 0.731128397705841 3
"1930" 0.514709697512503 4
"1931" 0.941249407533438 4
"1932" 1.02964266097947 4
"1933" 1.47904623157971 4
"1934" 1.29614545170104 7
"1935" 1.17207375974059 8
"1936" 1.08038602272565 11
"1937" 0.993209351440088 12
"1938" 0.980737526368052 12
"1939" 1.04137193445683 12
"1940" 1.05266786598049 14
"1941" 1.06464112345106 14
"1942" 1.19216137441711 14
"1943" 1.18356707875694 14
"1944" 0.949240301627631 14
"1945" 1.18113581803558 14
"1946" 0.893436649910139 14
"1947" 1.17784236440604 14
"1948" 1.00322253922446 14
"1949" 1.01739661216218 14
"1950" 1.04691391935846 14
"1951" 1.0325334673258 15
"1952" 0.892180346335057 15
"1953" 0.856374533312694 15
"1954" 0.972369866570413 17
"1955" 1.06372467413166 17
"1956" 1.12828271837144 17
"1957" 1.20388160832983 17
"1958" 1.38530210428605 19
"1959" 1.16014654322601 19
"1960" 1.1506874600875 19
"1961" 1.00906421468951 20
"1962" 1.04323026556025 20
"1963" 1.07919211838727 20
"1964" 1.09247967473758 20
"1965" 1.02212682526059 20
"1966" 0.714497213976637 20
"1967" 0.82617628191442 20
"1968" 0.899751320492057 20
"1969" 1.03298463786261 20
"1970" 1.00906252850735 20
"1971" 0.997944251460156 20
"1972" 1.02278966925117 20
"1973" 0.942798400357014 20
"1974" 0.941556745893832 20
"1975" 1.12479513193967 20
"1976" 1.11160394250034 20
"1977" 1.07877886814344 20
"1978" 0.850232098237355 20
"1979" 0.777050934994537 20
"1980" 0.988262005308079 20
"1981" 0.899404551528077 20
"1982" 0.980227285095614 20
"1983" 0.892254525462609 20
"1984" 0.6921198792253 20
"1985" 0.775771831338339 20
"1986" 0.84921962384421 20
"1987" 0.767714822800542 20
"1988" 0.672777669998892 20
"1989" 0.709849950518692 20
"1990" 0.697503551807915 20
"1991" 0.821762292479675 20
"1992" 0.912595713663771 20
"1993" 0.954225683593145 20
"1994" 1.03706992872673 20
"1995" 1.0440065562065 20
"1996" 0.879107203652203 20
"1997" 0.852947822200456 20
"1998" 1.05201322037462 20
"1999" 0.885775237904086 20
"2000" 0.908815456257573 20
"2001" 0.964371034658903 20
"2002" 1.05834281824709 20
"2003" 0.904537472514897 20
"2004" 0.964590509806073 20
"2005" 1.07003507632471 20
"2006" 0.800374391671899 20
"2007" 0.946674193151393 20
"2008" 0.960857357805044 20
"2009" 1.0289083689835 20
"2010" 1.17646079367305 20
"2011" 1.11532332367427 20
"2012" 1.2035318383773 20
"2013" 1.23893565009783 20
"2014" 1.33001699794865 20
"2015" 1.26151978983896 20
"2016" 1.32550805064615 20
"2017" 1.20548071535939 18
