PRISM Time Series Data
Location:  Lat: 38.2019   Lon: -80.2340   Elev: 1123m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2018-07-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1981-01-01,2.65,-6.0,-3.5,-1.0
1981-01-02,16.35,-7.8,-4.9,-1.9
1981-01-03,0.62,-12.0,-8.2,-4.5
1981-01-04,0.00,-19.9,-10.7,-1.6
1981-01-05,0.00,-24.3,-19.4,-14.5
1981-01-06,0.00,-21.3,-13.7,-6.1
1981-01-07,8.89,-13.5,-7.0,-0.4
1981-01-08,5.05,-19.7,-11.1,-2.4
1981-01-09,0.43,-19.7,-11.7,-3.7
1981-01-10,1.42,-16.7,-11.0,-5.2
1981-01-11,0.16,-21.0,-14.6,-8.2
1981-01-12,0.41,-22.3,-17.2,-12.2
1981-01-13,0.00,-22.1,-16.8,-11.5
1981-01-14,0.00,-15.8,-9.8,-3.9
1981-01-15,0.73,-8.6,-3.1,2.3
1981-01-16,1.04,-7.0,-4.6,-2.2
1981-01-17,5.08,-13.5,-8.4,-3.2
1981-01-18,0.80,-15.4,-11.7,-7.9
1981-01-19,0.00,-13.8,-7.3,-0.7
1981-01-20,0.00,-10.7,-2.7,5.2
1981-01-21,5.82,-5.3,-1.0,3.3
1981-01-22,5.57,-3.1,-0.6,1.9
1981-01-23,0.00,-5.3,-1.9,1.5
1981-01-24,0.54,-6.7,-4.1,-1.6
1981-01-25,0.00,-10.1,-3.2,3.7
1981-01-26,0.00,-8.3,1.0,10.4
1981-01-27,0.00,-1.9,4.0,9.8
1981-01-28,0.00,-8.8,-0.3,8.1
1981-01-29,0.00,-9.1,-3.0,3.1
1981-01-30,0.00,-11.5,-6.6,-1.7
1981-01-31,0.00,-17.8,-11.1,-4.4
1981-02-01,0.00,-15.6,-6.8,2.1
